NBA SALARIES,,,
,,,
Michael Stewart ...............,"3,200,000",,
Doug Christie .................,"2,742,600",,
Kevin Willis ..................,"2,625,000",,
Vince Carter ..................,"2,267,280",,
Dell Curry ....................,"2,100,000",,
Alvin Williams ................,"1,925,000",,
Tracy McGrady .................,"1,767,120",,
B.J. Tyler ....................,"1,614,000",[released,10/96]
Aleksandar Radojevic ..........,"1,325,760",,
John Thomas ...................,"832,560",,
Muggsy Bogues .................,"510,000",[minimum,"$1,000,000]"
Sean Marks ....................,"385,000",,
[Haywoode Workman signed 2/00],,,
,,,
----,,,
,,,
Utah Jazz                  Total,"$49,206,026 ",,
Karl Malone ...................,"14,000,000",,
John Stockton .................,"11,000,000",,
Jeff Hornacek .................,"5,200,000",,
Greg Ostertag .................,"5,200,000",,
Bryon Russell .................,"4,000,000",,
Adam Keefe ....................,"3,000,000",,
Olden Polynice ................,"2,000,000",,
Howard Eisley .................,"1,560,000",,
Quincy Lewis ..................,"930,720",,
Jacque Vaughn .................,"781,800",,
Scott Padgettt ................,"679,800",,
Thurl Bailey ..................,"510,000",[complete,d contract*]
Pete Chilcutt .................,"510,000",[released,"1/00, min. $1,000,000]"
Andrei Kirilenko ..............,"632,400",[1999 1st,rd pick*]
Armon Gilliam .................,"312,000",[minimum,"$621,951]"
Bakari Hendrix ................,"31,706",[released,11/99]
,,,
----,,,
,,,
Vancouver Grizzlies      Total $3,"7,749,568",,
Shareef Abdur-Rahim ...........,"9,000,000",,
Bryant Reeves .................,"8,666,666",,
Doug West .....................,"3,295,000",,
Mike Bibby ....................,"3,092,400",,
Brent Price ...................,"2,944,000",,
Othella Harrington ............,"2,025,000",,
Grant Long ....................,"2,000,000",,
Cherokee Parks ................,"1,925,000",,
Michael Dickerson .............,"1,224,960",,
Dennis Scott ..................,"1,100,000",,
Antoine Carr ..................,"1,000,000",,
DeJuan Wheat ..................,"460,000",[complete,d contract*]
Obinna Ekezie .................,"301,875",,
Milt Palacio ..................,"301,875",,
Joe Stephens ..................,"88,441",[released,10/99]
Robert Werdann ................,"7,471",[released,10/99]
,,,
----,,,
,,,
Washington Wizards       Total $5,"2,648,000",,
Juwan Howard ..................,"15,000,000",,
Mitch Richmond ................,"10,000,000",,
Rod Strickland ................,"10,000,000",,
Isaac Austin ..................,"4,819,451",,
Tracy Murray ..................,"2,720,000",,
Michael Smith .................,"2,000,000",,
Richard Hamilton ..............,"1,836,240",,
Chris Whitney .................,"1,680,000",,
Lorenzo Williams ..............,"1,540,000",,
Aaron Williams ................,"1,100,000",,
John Coker ....................,"510,000",[complete,d contract*]
Reggie Jordan .................,"510,000",[released,"3/00, min. $572,500]"
Gerard King ...................,"460,000",,
Jahidi White ..................,"385,000",,
Calvin Booth ..................,"301,875",,
Laron Profit ..................,"301,875",,
Jason Lawson ..................,"25,000",[released,10/99]
Jonathan Kerner ...............,"5,000",[released,10/99]
