PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Derek Strong,ORL,32,9-Jun,240,Xavier,USA,1990,2,47,20,2.7,2.2,0.2,-7.1,7.00%,20.90%,17.00%,49.90%,4.00%
Derrick Coleman,CHH,33,10-Jun,270,Syracuse,USA,1990,1,1,74,16.7,8.5,2.4,1.8,5.40%,21.10%,24.90%,54.10%,13.70%
Derrick Dial,SAS,24,4-Jun,184,Eastern Michigan,USA,1998,2,52,8,5,3.3,0.6,11.1,14.10%,13.50%,24.50%,41.50%,8.90%
Derrick McKey,IND,33,10-Jun,241,Alabama,USA,1987,1,9,32,4.3,4.2,1.1,5.9,5.10%,16.10%,11.40%,52.40%,9.00%
Detlef Schrempf,POR,37,10-Jun,235,Washington,USA,1985,1,8,77,7.5,4.3,2.6,6.5,5.30%,14.50%,17.30%,54.40%,19.20%
Devean George,LAL,22,8-Jun,220,Augsburg,USA,1999,1,23,49,3.2,1.5,0.2,1.3,7.60%,11.90%,21.60%,47.80%,6.10%
Devin Gray,HOU,28,7-Jun,240,Clemson,,1995,,,21,2.3,1.2,0.2,-3.4,8.00%,12.00%,17.50%,49.20%,6.90%
Dickey Simpkins,CHI,28,9-Jun,255,Providence,USA,1994,1,21,69,4.2,5.4,1.4,-11.9,7.50%,15.90%,12.50%,43.90%,10.50%
Dikembe Mutombo,ATL,34,2-Jul,261,Georgetown,Congo,1991,1,4,82,11.5,14.1,1.3,-2.5,10.20%,27.60%,13.90%,62.10%,5.40%
Dion Glover,ATL,21,5-Jun,228,Georgia Tech,USA,1999,1,20,30,6.5,1.3,0.9,-12.6,3.20%,5.30%,21.70%,48.30%,10.80%
Dirk Nowitzki,DAL,22,Jul-00,237,None,Germany,1998,1,9,82,17.5,6.5,2.5,1.5,3.40%,14.10%,20.80%,56.40%,10.70%
Don MacLean,PHX,30,10-Jun,235,UCLA,USA,1992,1,19,16,2.6,1.4,0.5,-5.5,3.70%,12.60%,17.30%,40.70%,10.00%
Don Reid,WAS,26,8-Jun,250,Georgetown,USA,1995,2,58,38,3.8,2.7,0.3,0.2,6.10%,15.20%,13.00%,56.70%,3.40%
Donny Marshall,CLE,27,7-Jun,230,Connecticut,USA,1995,2,39,6,1.8,0.2,0,1,0.00%,2.60%,19.10%,40.30%,0.00%
Donyell Marshall,GSW,27,9-Jun,230,Connecticut,USA,1994,1,4,64,14.2,10,2.6,-10.2,8.10%,20.90%,21.60%,47.80%,13.70%
Doug Christie,TOR,30,6-Jun,205,Pepperdine,USA,1992,1,17,73,12.4,3.9,4.4,0.7,2.70%,9.90%,19.00%,52.60%,22.70%
Doug Overton,BOS,30,3-Jun,190,La Salle,USA,1991,2,40,48,3.2,0.7,1.1,-2.6,3.00%,4.50%,17.20%,46.60%,20.50%
Doug West,VAN,33,6-Jun,220,Villanova,USA,1989,2,38,38,4,1.9,1.1,0,3.30%,9.50%,13.80%,46.70%,12.30%
Drew Barry,ATL,27,5-Jun,191,Georgia Tech,USA,1996,2,57,16,2.6,0.8,2.1,-9,0.00%,7.10%,12.20%,58.20%,33.00%
Duane Causwell,MIA,32,Jul-00,255,Temple,USA,1990,1,18,25,2.6,1.9,0.1,-17.8,5.80%,17.10%,14.90%,61.40%,1.70%
Earl Boykins,CLE,24,5-May,133,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,26,5.3,1,1.8,-11.9,4.20%,6.80%,23.00%,54.70%,34.50%
Eddie Jones,CHH,28,6-Jun,200,Temple,USA,1994,1,10,72,20.1,4.8,4.2,6.5,3.00%,9.20%,23.10%,55.50%,19.10%
Eddie Robinson,CHH,24,9-Jun,210,Central Oklahoma,USA,Undrafted,Undrafted,Undrafted,67,7,2.7,0.5,6,5.20%,11.50%,17.50%,56.90%,4.80%
Elden Campbell,CHH,31,Jul-00,255,Clemson,USA,1990,1,27,78,12.7,7.6,1.7,2.5,6.90%,16.90%,19.80%,50.00%,8.70%
